depth,wavelength,luz
4.75,683,7.62050334757437e-6
4.800000000000001,443,7.79485419480219e-4
4.800000000000001,510,9.136694608654698e-4
4.800000000000001,683,7.630548245424151e-6
4.85,443,7.763359454887585e-4
4.85,510,9.109678355329137e-4
4.85,683,7.630891078919761e-6
4.9,443,7.732010801710859e-4
4.9,510,9.082885611769853e-4
4.9,683,7.617500635541581e-6
4.95,443,7.700776864989396e-4
4.95,510,9.056250816203128e-4
4.95,683,7.598648656375774e-6
5,443,7.669616751615049e-4
5,510,9.029672456615781e-4
5,683,7.570841604758178e-6
5.1,443,7.607466525579016e-4
5.1,510,8.97653192588457e-4
5.1,683,7.490143719339313e-6
5.2,443,7.545664879021466e-4
5.2,510,8.923374769596726e-4
5.2,683,7.381657903575146e-6
5.3,443,7.484331379140944e-4
5.3,510,8.870095690256336e-4
5.3,683,7.245494311468576e-6
5.4,443,7.423396880949312e-4
5.4,510,8.816628598492688e-4
5.4,683,7.102876327280811e-6
5.5,443,7.362790365425467e-4
5.5,510,8.763069098387249e-4
5.5,683,6.9665442053718986e-6
5.6,443,7.302608551000782e-4
5.6,510,8.709582506747586e-4
5.6,683,6.843204101269204e-6
5.7,443,7.242774543741625e-4
5.7,510,8.656107542448078e-4
5.7,683,6.734095205436085e-6
5.8,443,7.18326382876262e-4
5.8,510,8.60277995923785e-4
5.8,683,6.646120485493462e-6
5.9,443,7.124173146086163e-4
5.9,510,8.549570204137277e-4
5.9,683,6.581675660393371e-6
6,443,7.06526889093739e-4
6,510,8.496666062673419e-4
6,683,6.5329513174282085e-6
6.1,443,7.006771639323714e-4
6.1,510,8.444125980808728e-4
6.1,683,6.5035989572754934e-6
6.2,443,6.948642118476855e-4
6.2,510,8.391867938088431e-4
6.2,683,6.493002911376969e-6
6.3,443,6.890782654502718e-4
6.3,510,8.339877035045049e-4
6.3,683,6.484793620184982e-6
6.4,443,6.833279107992752e-4
6.4,510,8.288058792959185e-4
6.4,683,6.4581869181296795e-6
6.5,443,6.776130106049626e-4
6.5,510,8.236318610743438e-4
6.5,683,6.42006432878665e-6
6.6,443,6.719473826697439e-4
6.6,510,8.184652220872945e-4
6.6,683,6.363998340052675e-6
6.7,443,6.663398503420725e-4
6.7,510,8.133028125957223e-4
6.7,683,6.3062536763173885e-6
6.8,443,6.607879201196583e-4
6.8,510,8.081502936836099e-4
6.8,683,6.237289755313453e-6
6.9,443,6.55328793299968e-4
6.9,510,8.030091003696606e-4
6.9,683,6.173640669845534e-6
7,443,6.499717643739361e-4
7,510,7.978878346898785e-4
7,683,6.118525494872402e-6
7.1,443,6.447600157216712e-4
7.1,510,7.928008294112445e-4
7.1,683,6.059940102881143e-6
7.2,443,6.39647174387072e-4
7.2,510,7.877622016367302e-4
7.2,683,6.000905062735659e-6
7.300000000000001,443,6.34618507749013e-4
7.300000000000001,510,7.827868773411585e-4
7.300000000000001,683,5.9344208117127855e-6
7.4,443,6.296481405925813e-4
7.4,510,7.778841593135493e-4
7.4,683,5.859596427399323e-6
7.5,443,6.247120245830037e-4
7.5,510,7.730725210146655e-4
7.5,683,5.778993748484381e-6
7.6,443,6.198061891380479e-4
7.6,510,7.683549872025763e-4
7.6,683,5.693825918229138e-6
7.7,443,6.149313826244805e-4
7.7,510,7.637251071378288e-4
7.7,683,5.613357713908115e-6
7.800000000000001,443,6.100811604570575e-4
7.800000000000001,510,7.591752738846086e-4
7.800000000000001,683,5.5375576432366745e-6
7.9,443,6.05253277449315e-4
7.9,510,7.54713366866011e-4
7.9,683,5.471028968325668e-6
8,443,6.004358865895491e-4
8,510,7.503191382649376e-4
8,683,5.417441168534964e-6
8.1,443,5.956313157693602e-4
8.1,510,7.459920687090547e-4
8.1,683,5.3829310080393536e-6
8.2,443,5.908381084492837e-4
8.2,510,7.417170565934894e-4
8.2,683,5.372131700611894e-6
8.3,443,5.860842089728401e-4
8.3,510,7.374665557099567e-4
8.3,683,5.386541623199814e-6
8.4,443,5.813660564510607e-4
